site_name,site_code,fish_species,individual_code,fish_replicant,food_type_code,food_type_label,area_sum,total_area,prop
Engipai,M7,Labeobarbus altianalis,2,2,DIATOM,Diatoms,393.25300000000004,393.25300000000004,1
Engipai,M7,Labeobarbus altianalis,2,2,IO,Inorganic,126.5,126.5,1
Engipai,M7,Labeobarbus altianalis,2,2,LD,Leaf detritus,21039.11800000001,21039.11800000001,1
Engipai,M7,Labeobarbus altianalis,2,2,LH,Liver/hemal,68.9,68.9,1
Engipai,M7,Labeobarbus altianalis,2,2,NAB,Non-attached biofilm,12651.576,12651.576,1
Engipai,M7,Labeobarbus altianalis,2,3,AD,Attached diatoms,42404.83900000001,42404.83900000001,1
Engipai,M7,Labeobarbus altianalis,2,3,DIATOM,Diatoms,1121.109,1121.109,1
Engipai,M7,Labeobarbus altianalis,2,3,FA,Fish scale,219.62,219.62,1
Engipai,M7,Labeobarbus altianalis,2,3,FH,Fish hair,117.642,117.642,1
Engipai,M7,Labeobarbus altianalis,2,3,INSECT,Insects,1190.7559999999999,1190.7559999999999,1
Engipai,M7,Labeobarbus altianalis,2,3,LD,Leaf detritus,19901.915,19901.915,1
Engipai,M7,Labeobarbus altianalis,2,3,LH,Liver/hemal,54.4,54.4,1
Engipai,M7,Labeobarbus altianalis,2,3,NAB,Non-attached biofilm,11041.853000000005,11041.853000000005,1
Engipai,M7,Labeobarbus altianalis,3,1,AD,Attached diatoms,74546.73300000001,74546.73300000001,1
Engipai,M7,Labeobarbus altianalis,3,1,DIATOM,Diatoms,251.37599999999998,251.37599999999998,1
Engipai,M7,Labeobarbus altianalis,3,1,FA,Fish scale,841.848,841.848,1
Engipai,M7,Labeobarbus altianalis,3,1,FH,Fish hair,121,121,1
Engipai,M7,Labeobarbus altianalis,3,1,GRASS,Grass,580.149,580.149,1
Engipai,M7,Labeobarbus altianalis,3,1,INSECT,Insects,4589.497,4589.497,1
Engipai,M7,Labeobarbus altianalis,3,1,LD,Leaf detritus,5113.183,5113.183,1
Engipai,M7,Labeobarbus altianalis,3,1,NAB,Non-attached biofilm,4351.778,4351.778,1
Engipai,M7,Labeobarbus altianalis,3,1,VM,Vascular macrophyte,476.421,476.421,1
Engipai,M7,Labeobarbus altianalis,3,2,AD,Attached diatoms,80029.52000000003,80029.52000000003,1
Engipai,M7,Labeobarbus altianalis,3,2,DIATOM,Diatoms,983.2769999999999,983.2769999999999,1
Engipai,M7,Labeobarbus altianalis,3,2,FA,Fish scale,292,292,1
Engipai,M7,Labeobarbus altianalis,3,2,GRASS,Grass,102.618,102.618,1
Engipai,M7,Labeobarbus altianalis,3,2,INSECT,Insects,1742.1,1742.1,1
Engipai,M7,Labeobarbus altianalis,3,2,LD,Leaf detritus,10665.882000000001,10665.882000000001,1
Engipai,M7,Labeobarbus altianalis,3,2,NAB,Non-attached biofilm,4613.018999999999,4613.018999999999,1
Engipai,M7,Labeobarbus altianalis,3,2,VM,Vascular macrophyte,612,612,1
Engipai,M7,Labeobarbus altianalis,3,3,AD,Attached diatoms,70929.04999999997,70929.04999999997,1
Engipai,M7,Labeobarbus altianalis,3,3,DIATOM,Diatoms,500.341,500.341,1
Engipai,M7,Labeobarbus altianalis,3,3,FA,Fish scale,943.768,943.768,1
Engipai,M7,Labeobarbus altianalis,3,3,FH,Fish hair,66.61,66.61,1
Engipai,M7,Labeobarbus altianalis,3,3,INSECT,Insects,14039.801000000001,14039.801000000001,1
